ID,Source,Description,SourceDocP,type,DLC,ENVRIReqID,Keyword,Interpretation,ENVRI concern,Action,Comment,consider
179,,"Helpdesk & Technical support for the use of complex data products which often require experience of, and detailed knowledge about, the underlying methods and science to be used in an optimal way",58,Community Support,Use,E,,,FALSE,,,
180,,"RIs need robust, fast-reacting systems, which offer security and privacy. Moreover, they need good performance for high data volumes",59,Community Support,Use,E.1,,Overlaps optimisation,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,
181,,Enforcement of data policy and licensing constraints that restrict access to a certain group of users,59,Community Support,Use,E.1,,,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,
31,EPOS,improve the Interoperable AAAI system (federated & distributed),33,generic,Use,E.2,Interoperability,Integration,TRUE,refine,already covered by RM,new requirement
36,Euro-ARGO,The cloud account of the user is updated regularly with the new data provided,33,generic,Use,E.2,,,TRUE,refine,Already covered by RM,mapped to more than one requirement
169,,"Access Control: AAI (Authentication and Authorisation Infrastructure) management is requested by many RIs. For example, IS-ENES2 currently uses OAuth2, OpenID, SAML and X.509 for AAI management.",57,Community Support,Use,E.2,,,TRUE,refine,,mapped to more than one requirement
174,,Provide shared spaces (files and image repositories ) where members and stakeholders can upload/download and exchange files,58,Community Support,Use,E.2,,,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,mapped to more than one requirement
180,,"RIs need robust, fast-reacting systems, which offer security and privacy. Moreover, they need good performance for high data volumes",59,Community Support,Use,E.2,,Overlaps optimisation,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,mapped to more than one requirement
181,,Enforcement of data policy and licensing constraints that restrict access to a certain group of users,59,Community Support,Use,E.2,,,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,mapped to more than one requirement
31,EPOS,improve the Interoperable AAAI system (federated & distributed),33,generic,Use,E.3,Interoperability,Integration,TRUE,refine,already covered by RM,new requirement
174,,Provide shared spaces (files and image repositories ) where members and stakeholders can upload/download and exchange files,58,Community Support,Use,E.3,,,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,mapped to more than one requirement
180,,"RIs need robust, fast-reacting systems, which offer security and privacy. Moreover, they need good performance for high data volumes",59,Community Support,Use,E.3,,Overlaps optimisation,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,mapped to more than one requirement
181,,Enforcement of data policy and licensing constraints that restrict access to a certain group of users,59,Community Support,Use,E.3,,,TRUE,refine,refine/extend to be clear about level of support for user groups and access rights,mapped to more than one requirement
60,LTER,real-time availability of data ,36,generic,Acquisition,A.11,,,TRUE,,,mapped to more than one requirement
39,EuroGOOS,"From a technological perspective, getting recommendations about the design of common data system, including formats or data platforms and data treatments.",34,generic,Curation,B.3,,,TRUE,,,mapped to more than one requirement
39,EuroGOOS,"From a technological perspective, getting recommendations about the design of common data system, including formats or data platforms and data treatments.",34,generic,Curation,B.4,,,TRUE,,,mapped to more than one requirement
39,EuroGOOS,"From a technological perspective, getting recommendations about the design of common data system, including formats or data platforms and data treatments.",34,generic,Curation,B.5,,,TRUE,,,mapped to more than one requirement
39,EuroGOOS,"From a technological perspective, getting recommendations about the design of common data system, including formats or data platforms and data treatments.",34,generic,Curation,B.8,,,TRUE,,,mapped to more than one requirement
